Agency Acronym,Agency Name,Entity type,MMR chapter,Rulemaking Entity,Agency Head First Name,Agency Head Last Name,Agency Contacts,Reports to Deputy Mayor/Executive,Executive Name (from Deputy Mayor/Executive),BC Description,Board/Commission Qualification,BC Source of Authority,Legal Source Link,Agency/Board Website,BC Type,COS Note,Legal Source,Executive Structure,Executive Structure Detail,Mayoral Agency?,Advisory Board?,Legal Source Notes,Charter and Statute,Rules and Regs,Year created,Sources Available (from MO101) copy 2,Core Mission
PDC,Public Design Commission,"Board/Commission,Agency",,checked,Sreoshy,Banerjea,"""Sreoshy Banerjea (Executive Director,  PDC)"",""Carolina Llano (Director of Art, Design & Technology,  PDC)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The Commission reviews and approves art and architecture to be placed on City property, and preserves City-owned works of art such as the portrait collection in City Hall.  ",,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2603,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2602,https://www1.nyc.gov/site/designcommission/index.page,,,Charter Chapter 37,Multi-member Commission,,Yes,No,,,,,,"As New York City’s design review agency, the Public Design Commission (PDC) has jurisdiction over the designs of permanent structures, landscape architecture, and art proposed on or over City-owned property. The mission of the PDC is to advocate for innovative, sustainable, and equitable design of public spaces and civic structures, with a goal of improving the public realm and therefore related services for all New Yorkers throughout the five boroughs."
TLC,Taxi & Limousine Commission,"Agency,Board/Commission",checked,checked,David ,Do,"""Ange Jean-Paul (Scheduler,  TLC)"",""David  Do (Commissioner/Chair,  TLC)"",""Malcolm Cain (Deputy Chief of Staff,  TLC)""",DM Operations,Meera Joshi,"The Commission licenses and regulates the taxi and limousine industries in New York City.
",,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5708,https://www1.nyc.gov/site/tlc/index.page,,,Charter Chapter 65,Multi-member Commission,The commission consists of nine members to be appointed by the mayor with the advice and consent of the city council.,Yes,No,,,,,,
AAC,Algorithm Advisory Committee,Board/Commission,,,,,,First Deputy Mayor,Maria Torres-Springer,"The Algorithms Advisory Committee advises the Steering Committee and Algorithms Management and Policy Officer on the protocols and best practices related to City use of algorithmic tools and systems in agency decision-making. They explore and discuss issues relevant to the development, use, and best practices on algorithmic tools and systems; they serve as a 
mechanism for collective and communicating concerns and expertise from individuals and groups outside the city to the 
officer. ",,Executive Order 50 of 2019 (11/19/2019),"https://www1.nyc.gov/assets/home/downloads/pdf/executive-orders/2019/eo-50.pdf#:~:text=EXECUTIVE%20ORDER%20No.%2050%20November%2019%2C%202019%20ESTABLISHING,implementing%20such%20practices%2C%20with%20input%20and%20guidance%20from",https://www1.nyc.gov/site/ampo/committees/advisory-committee.page ,,,EO 50 2019,Multi-member Commission,,Yes,Yes,,Exec Order 50.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/AoYIDr8lWy8mM8FSrkIR_Q/0sePGIIvAgUdoDOJxbhReteBuEwd4wNRxUxk-_lnHHLucxBg_aYEAU6_kUv6-GDGTWc47XFWynL_qnuuTWYUd_xJZPbHXI1nU_oj6sWgCMeH3ls5T1lSowSer2Z98c3scL7aNAthheDcyawSEgKisg/rdIGZ6fv9SsCAU5Nlr0Pg9v67rC2rRnSDNB8-v7cE2g),,,,
AACRHMTF,Task Force on African American Civil Rights History Museum ,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"A task force to consider a plan related to the feasibility, potential sites, resources needed, and stakeholders to be engaged to implement and operate a museum about New York City’s African-American civil rights history",,Local Law 44 of 2020,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-128035,,MC,,LL 44 2020,Multi-member Commission,,Yes,No,,,Local Law 44 (1).pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/DHIWxLKHyuMR-ElZM9JpCw/LIL0LZ_uxYBG6X8rhmgq3LQxH7Hf3EUmE1BWY5U_Y2N2NirqupAswRtzJ9UhtH4iEJtrcVVg3uZEMEyj4waDM_FveCeElF9q0p1-7zLIhGmDNwl4yZcyuZUgLGj9JgSG5uiSV1QuvQjmp6zwCJRdHg/vFxsaPMDMtrz_GL0XI-mzb0fndb83EUIW5FMsN8Ptcs),,,
ABIRJCA,Advisory Board on Implementation of Racial Justice Charter Amendments,Board/Commission,,,,,,DM Strategic Initiatives,Ana Almanzar,"The Advisory Board on Implementation of Racial Justice Charter Amendments will provide guidance on the structure and strategy of the newly mandated Racial Equity Office and Racial Equity Plans, Commission on Racial Equity, and NYC True Cost of Living Measure.",,Mayoral Press Release,,https://www.nyc.gov/office-of-the-mayor/news/267-23/mayor-adams-advisory-board-help-guide-city-s-implementation-racial-justice-charter,MC,,Mayoral Press Release,"""Single Agency Head (commissioner, exec director, administrator)""",,No,No,"April 17, 2023

NEW YORK – New York City Mayor Eric Adams and Mayor’s Office of Equity Commissioner Sideya Sherman today announced the launch of an advisory board on implementation of the Racial Justice Charter Amendments, voted into law during the November 2022 general election. ",,,,,
ACC,Animal Care Centers of NYC,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,"A not-for-profit organization that rescues, cares for, and finds homes for homeless and abandoned animals in New York City.",,"Animal Care & Control of New York City, Inc. – By-laws (updated 2016)",,https://www.nycacc.org/about ,MC,,,Multi-member Commission,,No,No,"The press release below describes the relationship between NYC government and the non-profit ACC. No certificate of incorporation has been found. 
Press Release: https://www1.nyc.gov/office-of-the-mayor/news/395-16/mayor-de-blasio-10-million-capital-funding-two-new-animal-shelters-bronx-and 
",,ACC updated bylaws Aug 2016 Amended & Restated Bylaws.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/1PiTfp2Qf0NxnYRMkST91w/ZUcvWxh4A3zRoAyqWhJUHbLhbq_Q4JnQYsbkpvaZShSx6H6ZoLGrj_RcolVGOyDlkvBMCqRs11_kNJwlGUSKlX0TbQn19Bf8nxUopc0nt7HIksXYD2IqiJzbmMkJnf0GZS5MJjRQ0teZZG5dak8xazZaNZFkEaFoiopQHjKcguo2wzw7tex84SzLOWXU9m_m/_F_MOgywVDZKj2rx_aEL5ArHXGhahv6Z-cqHxkyjVmU),,,
ACCWAI,Advisory Council to the Center for Workplace Accessibility and Inclusion,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,,,,,,,,,,,,,,
ACFGMC,Advisory Committee on Female Genital Mutilation and Cutting,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,"The committee makes recommendations to engage communities and agencies in decreasing, with the goal of eventually eliminating, the practice of female genital mutilation and cutting in the city, as well as identifies supportive community-based and culturally-responsive resources for people who have undergone female genital mutilation and cutting.",,NYC Admin Code Section 3-184,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-134770,,,,"Ad Code Title 3, Chapter 3, Section 1 § 3-184 ",Multi-member Commission,,Yes,Yes,,Int_ 1828-A.docx (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/dqODm3Yatdq_0la6vZUkuw/0E_Aq9YCBHcPiOpskdxNNh0aLWynG0ETrPmQoCvP51tPMkblEWgFsAB9sW4BtoCmFivepAya6Pw1iH-N7x_aRcJCC5EU1q5RPu-B5civ1MTDMkEAVzEzGhvLo66EQNCIQHKlSJfNqLCfQisLSA0WBg/nDYSQY0oqkW88tElCnZA083BAHoZ4q2dGiL_4tXcgWo),Local Law 109 of 2021.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/o6qb9-w0UdzxZB0IG2_5bg/SwATG1PnYH30s6hUp1vi0F4SRgew99aSwV_171nrdUVI_Xmkj63DJxyBfNR8e7hG0E6kSfqWIFFGiTvV9VRKUIra3xu1Lyrj_TRYF4YbJ-QpQfQOWR5kuE4rAKh3AcZIUm8kmyXaccLW7FNoJDc0t0inKh-vq4bc-FNr-6LVYU0/MP15HOJPLZRQkcmdnyJXDzAGTQnhmOE-H0-7lQvrX7o),,,
ACNYCCCHP,Advisory Council for the NYC Civil Court Housing Part,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"Reviews, report, and makes recommendations annually on the functioning of the Housing Part. In addition, members conduct initial prescreening interviews, applicant evaluations, and annual compilation of qualified applicant lists for the Chief Administrative Law Judge to appoint new Judges to the court from",,New York City Civil Court Act - § 11(g) and (h),https://nycourts.gov/courts/nyc/housing/pdfs/advisorystatute.pdf,"https://nycourts.gov/courts/nyc/housing/advisory.shtml#:~:text=The%20Advisory%20Council%20for%20the%20Housing%20Part%20was,conduct%20initial%20prescreening%20interviews%20and%20evaluations%20of%20applicants.",MC,,Civil Court Act 110 ,Multi-member Commission,,No,Yes,,,,,,
ACPL,Advisory Council on Procurement Lobbying,Board/Commission,,,,,,Chief Counsel to the Mayor,Allison Stoddart,"Provides advice to the New York State Lobby Commission on the implementation of the procurement lobbying provisions of the lobby law, and is also charged with issuing model guidelines as to the types of contracts that would be permissible during the restricted contact period.  ",,New York State Legislative Law - § 1-t ,https://newyork.public.law/laws/n.y._legislative_law_section_1-t,https://ogs.ny.gov/ACPL/,MC,,"Legislative Chapter 32, Article 1-A, Section 1-T",Multi-member Commission,,No,Yes,,,,,,
ACPTR,Advisory Commission on Property Tax Reform,Board/Commission,,,,,,First Deputy Mayor,Maria Torres-Springer,,,,,"https://www1.nyc.gov/site/propertytaxreform/index.page#:~:text=Announced%20in%20May%202018%2C%20the%20New%20York%20City,revenue%20used%20to%20fund%20City%20services.%20Learn%20more",,,EO 37 2018 ,Multi-member Commission,,No,Yes,,,,,,
AFC,Age Friendly Commission,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,"The Age-friendly Commission is a public-private partnership that works closely with City government, business, and the non-profit sector to (1) optimize the health and social and economic participation of all New Yorkers, (2) address the challenges and leverage opportunities posed by a rapidly increasing population of older New Yorkers, (3) identify existing policies and programs to benefit older adults, (4) adopt similar “age-in-everything” approaches to planning and work in the nonprofit and private sector, (5) better understand how City agencies can apply an aging lens to all of their planning, meeting the needs of older populations, (6) catalyze change across public funding silos to demonstrate the potential for integrated strategies, and (7) monitor public and private sector progress in implementing initiatives",,Mayor Bloomberg Press Release 27,,,MC,,,Multi-member Commission,,No,No,Press Release: https://www1.nyc.gov/site/dfta/news-reports/press-releases/pr-De-Blasio-announces-reseating-of-the-age-friendly-NYC-commission.page,,all_ages_intiatives.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/9D10qEUg3uY5wXc1oCk8Nw/1bYT5-6dR_6bpZC7nbHkR-BU8Z-G5WE_Jg66I8qLs8_J11zK8G2yy-KnBDS74aBUF36f7tGg5BTXDm9p4ucNBpwI4XnKbGawO9D-9EnuKElxGwejMvainCTNSZtXZRdEJPCqbBRe3h8N50aWLQjiPf4LL5dO5SAT7Q7oiVGtAM4/y9aoCy8ISCV7HcKCxBupGDf6TeAVV75KnNkbmVpEXWQ),,,
AMNH,CIG - American Museum of Natural History,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://babel.hathitrust.org/cgi/pt?id=nyp.33433062657303&view=1up&seq=219&skin=2021&q1=natural%20history%20museum,https://www.amnh.org/about/board-of-trustees,MC,,"Laws of New York 1869, Chapter 118",Multi-member Commission,,No,No,,,,,,
ARB,Archival Review Board,Board/Commission,,,,,,Chief Counsel to the Mayor,Allison Stoddart,The Archival Review Board was created by the City Council to ensure the proper retention and preservation of official City papers and records by the Department of Records and Information Services (DoRIS). The Board shall prepare an annual report to the Mayor.,,New York City Charter - Chapter 72 - § 3005,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4399,,MC,,"Charter Chapter 72, Section 3005","""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission","The  archival review board is under DORIS and consists of five members; two who are appointed by the speaker, two who are appointed by the mayor, and one that will serve as the commissioner/chairperson.",No,Yes,,,,,,
ARRAB,"Archives, Reference and Research Advisory Board ",Board/Commission,,,,,,Chief Counsel to the Mayor,Allison Stoddart,"The Archives, Reference and Research Advisory Board shall consist of fifteen members who shall be appointed by the Mayor and which shall advise the Commissioner of the Department of Records and Information Services in matters at his or her request and render annually to the mayor a report regarding the development of municipal archives, reference and research services in the government and administration of the city.",,New York City Charter – § 3009,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4399,,MC,,"Charter Chapter 72, Section 3009",Multi-member Commission,The reference and research advisory board consists of fifteen members who are appointed by the mayor and directly consult the commissioner of DORIS.,Yes,Yes,,,,,,
ASRITF,Accessory Sign Regulation Interagency Task Force,Board/Commission,,,,,,,,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-128246,,,,LL 28 2019,Multi-member Commission,,No,No,,,,,,
AUDIT,Audit Committee,Board/Commission,,,,,,First Deputy Mayor,Maria Torres-Springer,"Provides independent oversight of the City’s annual auditing and financial reporting operations, performing a role comparable to that of a publicly-held corporation’s independent audit committee.",,City Charter – Chapter 5 - § 97,https://www1.nyc.gov/assets/records/pdf/executive_orders/1979EO029.PDF,https://nycauditcommittee.org/,Nom,,EO 29 1979,Multi-member Commission,The committee consists of seven members.,No,No,,Chapter 5 - COMPTROLLER — NYC Charter 0_0_1 documentation.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/MH7bd_4NnBqyhroU_h2drA/kgoaWCHWigt07gP410OZEj2MOPt5flpAwGt8wIhXrtABaHGqy2SuVEBe8F5xPQIRqT3vqX_u2DHLj-hRwZ6wLnBfTtqS9Tpz4X4GVac4EyJKW5B91k8sgVzOwGe6LCCEKpkYojW0IDdhrsa44nTiXO4Uisg_Kirc6fwyUNyqOYo1OTleZovLwiE6NtW0qiQZ/HVOmNNwgI353PDHd83NoV320rN3hTk19HTQ-nzSQ5Mk),,,,
AYCDC,Atlantic Yards Community Development Corporation (AYCDC),Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,The Atlantic Yards Community Development Corporation was developed by the Empire State Development Corporation to improve oversight and monitoring of the Atlantic Yards Project.,,Atlantic Yards Community Development Corporation By-Laws,,Website: https://esd.ny.gov/atlantic-yards-community-development-corporation,MC,,,Multi-member Commission,"The commission is governed by 14 directors, nine appointed by the Governor and five by other elected officials – President Pro Tem of the NYS Senate, Speaker of the NYS Assembly, NYC Mayor, Speaker of the NYC Council, and Brooklyn Borough President.",No,Yes,The Atlantic Yards Community Development Corporation was developed by the Empire State Development Corporation to improve oversight and monitoring of the Atlantic Yards Project.,,Atlantic-Yards-Community-Development-Corporation By-Laws.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/xuuuFujfflqTHAjrFWubCw/Rapsy8hwSpN6OfEnpG0Sq6LvE6GLfS7XtgpGvwTIZyeydI4jU6LhydF17tgIAg1hWBAtSyzdqoEZsxwm2v74phN0OdjfDbNwl_Zb_HbAGw4kWXIFjBFr2tasG5NcyLIkQAnekkaWhEkae6X5Em01-XF9JYOJ8Qp0jj7mc4DgGXs435b6FMOd34kkWTT2auVgZfwLW7tay0rsPtHvTND5Tg/b7wHJYLQFljaBcSO7LEQ2o0timhWjTj8oZt77Al3uSs),,,
BAM,CIG - Brooklyn Academy of Music (BAM),Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://babel.hathitrust.org/cgi/pt?id=nyp.33433090742010&view=1up&seq=118&skin=2021&q1=chapter%2050,https://www.bam.org/about/leadership/board-of-trustees,MC,,"Laws of New York 1859, Chapter 50",Multi-member Commission,,No,No,,,,,,
BANKING,Banking Commission,Board/Commission,,checked,,,,First Deputy Mayor,Maria Torres-Springer,"The Banking Commission designates the banks to hold City funds; makes an annual recommendation to the City Council on the discount rate for early payments of real estate taxes, and the interest rate to be charged for late payments of real estate taxes or water and sewer charges; and works with the State on designating Banking Development Districts whereby the State and the City deposit funds in certain bank branches in neighborhoods that are under-banked.",,Banking Commission Website ,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCrules/0-0-0-42312,"https://www1.nyc.gov/site/finance/about/banking-commission.page#:~:text=The%20Banking%20Commission%20has%20three%20responsibilities%3A%20Approve%20banks,and%20late%20payment%20of%20real%20estate%20taxes%3B%20and",MC,,"Rules Title 22, Chapter 1, § 1-02 Definitions",Multi-member Commission,"The commission consists of the mayor, the commissioner of finance and the comptroller. ",No,No,,,,,,
BBG,CIG - Brooklyn Botanical Garden,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,, https://www.bbg.org/about/mission,,,,Multi-member Commission,,No,No,"The Brooklyn Botanical Garden is a CIG, however, it is difficult to find its certificate of incorporation.",,,,,
BBPC,Brooklyn Bridge Park Corporation,Board/Commission,,,,,,DM Operations,Meera Joshi,"A not‐ for-proﬁt entity responsible for the planning, construction, maintenance and operation of Brooklyn Bridge Park, an 85‐acre sustainable waterfront park stretching 1.3 miles along Brooklyn’s East River shoreline. Its mission is to create and maintain a world class park that is a recreational, environmental and cultural destination enjoyed by the residents of, and visitors to, New York City. The Corporation operates under a mandate, embodied by its General Project Plan, to be ﬁnancially self-sustaining, which includes the activation of certain development sites within the project’s footprint.",,Agreement between the State and City of New York (March 2010) and BBPC By-LawsAgreement between the State and City of New York (March 2010) and BBPC By-Laws,,https://www.brooklynbridgepark.org/about/about-brooklyn-bridge-park-corporation/,,,,Multi-member Commission,,Yes,No,By laws: https://www.brooklynbridgepark.org/wp-content/uploads/2020/10/BBP-Amended-and-Restated-By-Laws-20200930.pdf,,BBP-Amended-and-Restated-By-Laws-9_30_2020.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/2AeBKStCPie_GSQVIJyGfA/L7Ho8keAmJOCm5Lhb7nnfX36ttgpAVIKvZD0rSr7q8i6JpyA0pdnKPzskDTmZFBjlgf7DhaWwyoZRKUb0lNpWRpZoA4LmJG8gGUmhW1lbqOip5gFqHF-9fZkYNr3LoRRpOQWtw15YegdfgWdKuIFsF2bHonEvvY0fzCVwQv6nUpgq6HWzr8eAQmiDBuAnAW8/33lOxCxQ6FXBRh0ALQFoWqfprL0_JJAC2anWilhh90Y),,,
