Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID,Agency Name,Entity type,source,HeadOfOrganizationName,HeadOfOrganizationTitle,PrincipalOfficerContactURL,merged_from,data_source
Cyber Command,Cyber Command,,,,,,,,NYC Cyber Command (NYC3),,NYC Cyber Command,Active,Division,,https://www.nyc.gov/content/oti/pages/meet-the-team/cyber-command,Office of Technology and Innovation,Office of Technology and Innovation,New York City Charter,"Chapter 1, Section 20-j",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5726,The mayor shall establish an office of cyber command. Such office may be established in the executive office of the mayor or as a separate office or within any department the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or the head of such department and who shall serve as the chief information security officer of the city.,,,NYC3,,,,,,"NYC Cyber Command was integrated into the Office of Technology and Innovation (OTI) in November 2021 through Executive Order No. 3. This integration was part of a broader initiative to streamline and enhance the city's technology and innovation efforts by merging several technology-focused entities, including the NYC Office of Data Analytics (ODA), the Mayor's Office of the Chief Technology Officer (MOCTO), the Mayor's Office of Information Privacy (MOIP), and NYC 311. While the Department of Information Technology and Telecommunications (DoITT) continues to exist solely for legal contract purposes, its operational functions, including those of NYC Cyber Command, have been incorporated into OTI. This consolidation aims to create a unified approach to technology deployment and innovation, improving service efficiency and coordination across NYC government agencies.",2017.0,,cyber-command,2024-07-29,,,Cyber Command (NYC3),Cyber Command (NYC3),,,cyber command,REC_000049,,,,,,,,nyc_agencies_export
Dangerous Dog Advisory Board,,,,,,,,,,Dangerous Dog Advisory Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dangerous dog advisory board,OPS_000216,Dangerous Dog Advisory Board,Board/Commission,ops,,,,,ops
Deferred Compensation Board,,,,,,,,,,Deferred Compensation Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deferred compensation board,OPS_000215,Deferred Compensation Board,Board/Commission,ops,,,,,ops
DemocracyNYC,DemocracyNYC,,,,DemocracyNYC,,DemocracyNYC,DemocracyNYC,,DemocracyNYC,DemocracyNYC,Reorganized,Mayoral Office,"DemocracyNYC is a nonpartisan initiative of the City of New York focused on increasing voter participation and civic engagement in NYC. Part of that mission is to encourage every eligible New Yorker to make their voice heard at the ballot box. DemocracyNYC also works to address and eliminate historic barriers to voting through public education, outreach, and policy reform efforts. Currently we are focusing on encouraging voters to participate in special and local elections by educating New Yorkers on Ranked Choice Voting and pushing for long term reform through legislation.",https://www1.nyc.gov/site/democracynyc/index.page,,,Mayoral Executive Order,"Executive Order 88, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/7d278x68v?locale=en,The Mayor of New York City establishes DemocracyNYC under the direction of the Civic Engagement Commission. The program shall encourage greater civic and voter engagement by developing communication strategies and conducting citywide outreach efforts.,,,,,,Laura Wood,Chief Democracy Officer,,,,,democracynyc,2024-07-29,,,DemocracyNYC,DemocracyNYC,Laura,Wood,democracynyc,OPS_000021,DemocracyNYC,Mayoral unit/office,ops,,,Non-existant,"[{'id': 'HOO_000047', 'name': 'DemocracyNYC', 'score': None}]",ops
Department for the Aging,"Aging, Department for the",Department for the Aging,Department for the Aging,"Aging, Department for the","Aging, Department for the (NYC Aging)",Department for the Aging (NYC Aging),"Aging, Department for the (NYC Aging)","Aging, Department for the (NYC Aging)",Department for the Aging (DFTA),Department for the Aging,Department for the Aging,Active,Mayoral Agency,"NYC Aging funds community-based organizations throughout the five boroughs to provided essential services for seniors, including hot meals and activities at senior centers, home-delivered meals, case management, home care, transportation, legal services and caregiver services.    ",http://www.nyc.gov/aging,Mayor's Office,Deputy Mayor for Health and Human Services,New York City Charter,"Chapter 66, Section 2400",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3953,"There shall be a department for the aging, the head of which shall be the commissioner for the aging.",,,NYC AGING,DFTA,125.0,Lorraine A. Cortés-Vázquez,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+for+the+Aging+%28NYC Aging%29,,1973.0,,department-for-the-aging,2024-07-29,,,Department for the Aging (NYC AGING),"Aging, Department for the (NYC AGING)",Lorraine,Cortés-Vázquez,department aging,OPS_000095,Department for the Aging,Agency,ops,Lorraine Cortes-Vazquez,Commissioner,https://www.nyc.gov/site/dfta/about/email-the-commissioner.page,"[""OPS_000095"", ""REC_000005""]",ops
Department of Buildings,"Buildings, Department of",Department of Buildings,Department of Buildings,Buildings,"Buildings, Department of (DOB)",Department of Buildings (DOB),"Buildings, Department of (DOB)","Buildings, Department of (DOB)",Department of Buildings (DOB),Department of Buildings,Department of Buildings,Active,Mayoral Agency,"The Department of Buildings (DOB) ensures the safe and lawful use of over 900,000 buildings and properties by enforcing the Building Code, Zoning Resolution, and other applicable laws. Each year it reviews over 60,000 construction plans, issues over 110,000 new and renewed permits, performs over 300,000 inspections, and issues 12 types of licenses, registrations, and certificates. It facilitates construction by continually streamlining the permit application process, and delivers services with integrity and professionalism.",http://www.nyc.gov/dob,Mayor's Office,Deputy Mayor for Operations,New York City Charter,"Chapter 26, Section 641",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2232,"There shall be a department of buildings, the head of which shall be the commissioner of buildings. The commissioner or the first deputy commissioner shall be a registered architect or a licensed professional engineer in good standing under the education law.",,,DOB,,810.0,Jimmy Oddo,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Buildings+%28DOB%29,,1892.0,,department-of-buildings,2024-07-29,,,Department of Buildings (DOB),"Buildings, Department of (DOB)",Jimmy,Oddo,department of buildings,OPS_000096,Department of Buildings,Agency,ops,Jimmy Oddo,Commissioner,https://www.nyc.gov/assets/home/mail/html/maildob.html,"[""OPS_000096"", ""REC_000022""]",ops
Department of City Planning,"City Planning, Department of",Department of City Planning,Department of City Planning,City Planning,"City Planning, Department of (DCP)",Department of City Planning (DCP),"City Planning, Department of (DCP)","City Planning, Department of (DCP)",Department of City Planning (DCP),Department of City Planning,Department of City Planning,Active,Mayoral Agency,"The Department of City Planning (DCP) oversees land use planning for New York City, utilizing zoning regulations to promote strategic growth and sustainable communities throughout the five boroughs.",http://www.nyc.gov/planning,Mayor's Office,"Deputy Mayor for Housing, Economic Development and Workforce",New York City Charter,"Chapter 8, Section 191",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-796,"There shall be a department of city planning, the head of which shall be the director of city planning. The director of city planning shall be the chair and a member of the city planning commission and shall serve at the pleasure of the mayor.",,,DCP,,30.0,Dan Garodnick,Director,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+City+Planning+%28DCP%29,,1938.0,,department-of-city-planning,2024-07-29,,,Department of City Planning (DCP),"City Planning, Department of (DCP)",Dan,Garodnick,department of city planning,OPS_000091,Department of City Planning,Agency,ops,Dan Garodnick,Director,https://www.nyc.gov/site/planning/about/email-the-director.page,"[""OPS_000091"", ""REC_000033""]",ops
Department of Citywide Administrative Services,"Citywide Administrative Services, Department of",,,,"Citywide Administrative Services, Department of (DCAS)",,,,,Department of Citywide Administrative Services,,Active,Mayoral Agency,,https://www.nyc.gov/site/dcas/index.page,Mayor's Office,First Deputy Mayor,New York City Charter,"Chapter 35, Section 810",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6723,"There shall be a department of citywide administrative services, the head of which shall be the commissioner of citywide administrative services. The commissioner may appoint deputies within available appropriations.",,,DCAS,,,,,,,1996.0,,department-of-citywide-administrative-services,2024-07-29,,,Department of Citywide Administrative Services (DCAS),"Citywide Administrative Services, Department of (DCAS)",,,department of citywide administrative services,OPS_000089,Department of Citywide Administrative Services,Agency,ops,Louis A. Molina,Commissioner,https://www.nyc.gov/nyc-resources/mail/dcas-email-the-commissioner.page,"[""OPS_000089"", ""REC_000036""]",ops
Department of Consumer and Worker Protection,"Consumer and Worker Protection, Department of",Department of Consumer and Worker Protection,Department of Consumer & Worker Protection,Consumer and Worker Protection,"Consumer and Worker Protection, Department of (DCWP)",Department of Consumer and Worker Protection (DCWP),"Consumer and Worker Protection, Department of (DCWP)","Consumer and Worker Protection, Department of (DCWP)",Department of Consumer and Worker Protection (DCWP),Department of Consumer and Worker Protection,Department of Consumer and Worker Protection,Active,Mayoral Agency,The NYC Department of Consumer and Worker Protection (DCWP)—formerly the Department of Consumer Affairs (DCA)—protects and enhances the daily economic lives of New Yorkers to create thriving communities.,https://www1.nyc.gov/site/dca/index.page,Mayor's Office,"Deputy Mayor for Housing, Economic Development and Workforce",New York City Charter,"Chapter 64, Section 2203",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5704,"There shall be a department of consumer and worker protection, the head of which shall be the commissioner of consumer and worker protection.",,Department of Consumer Affairs,DCWP,DCA,866.0,Vilda Vera Mayuga,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Consumer+and+Worker+Protection+%28DCWP%29,,1969.0,,department-of-consumer-and-worker-protection,2024-07-29,,,Department of Consumer and Worker Protection (DCWP),"Consumer and Worker Protection, Department of (DCWP)",Vilda,Mayuga,department of consumer and worker protection,OPS_000092,Department of Consumer and Worker Protection,Agency,ops,Vilda Vera Mayuga,Commissioner,https://www.nyc.gov/site/dca/about/email-the-commissioner.page,"[""OPS_000092"", ""REC_000043""]",ops
Department of Correction,"Correction, Department of",Department of Correction,Department of Correction,"Correction, Department of","Correction, Department of (DOC)",Department of Correction (DOC),"Correction, Department of (DOC)","Correction, Department of (DOC)",Department of Correction (DOC),Department of Correction,Department of Correction,Active,Mayoral Agency,"The Department of Correction operates ten jails on Rikers Island and additional facilities and court pens throughout the city.  It houses an average daily population of approximately 12,500 inmates.",http://www.nyc.gov/doc,Mayor's Office,Deputy Mayor for Public Safety,New York City Charter,"Chapter 25, Section 623",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2201,There shall be a department of correction the head of which shall be the commissioner of correction.,,,DOC,,72.0,Lynelle Maginley-Liddie,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Correction+%28DOC%29,,1895.0,,department-of-correction,2024-07-29,,,Department of Correction (DOC),"Correction, Department of (DOC)",Lynelle,Maginley-Liddie,department of correction,OPS_000097,Department of Correction,Agency,ops,Lynelle Maginley-Liddie,Commissioner ,https://www.nyc.gov/site/doc/about/contact-the-commissioner.page,"[""OPS_000097"", ""REC_000046""]",ops
