Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID_x,RecordID_y,HeadOfOrganizationTitle,HeadOfOrganizationURL,Name - NYC.gov Redesign,RecordID,Name - Ops,data_source
Commission on Gender Equity,"Gender Equity, Commission on",Active,"Advisory, Oversight, or Regulatory Body","Mayor de Blasio established New York City’s Commission on Gender Equity (CGE) through Executive Order Number 10. This Commission is an advisory body that supports City agencies in dismantling institutional barriers for women and girls regardless of race, ethnicity, class, gender identity and sexual orientation and helps achieve the Mayor’s commitment to reduce gender-based inequity.",http://www.nyc.gov/genderequity,,Mayor's Office of Equity and Racial Justice,New York City Charter,"Chapter 1, Section 20-b",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5699,"There shall be a commission on gender equity to study the nature and extent of inequities facing women, girls, transgender, intersex, gender non-conforming and non-binary individuals in the city; to study the impact of such inequities on the economic, civic and social well-being of women, girls, transgender, intersex, gender non-conforming and non-binary individuals; to advise on ways to analyze the function and composition of city agencies through a gender-based lens and ways to develop equitable recruitment strategies; and to make recommendations to the mayor and the council for the reduction of gender-based inequality. Such commission shall consist of 26 members appointed by the mayor; five members appointed by the speaker of the council; and the chair of the commission on human rights, who shall serve as an ex officio member. Members of the commission shall be representative of the population of the city of New York and shall have experience in advocating for issues important to women, girls, transgender, intersex, gender non-conforming and non-binary individuals. The mayor shall designate one member to serve as chair of the commission, and may also designate a member to serve as co-chair. Members shall serve at the pleasure of the appointing authority. In the event of the death or resignation of any member, a successor shall be appointed by the official who appointed such member. The mayor shall appoint an executive director for the commission.",,,CGE,,,Jacqueline Ebanks,Executive Director,,,2015.0,,commission-on-gender-equity,2024-07-29,,,Commission on Gender Equity (CGE),Commission on Gender Equity (CGE),,Commission on Gender Equity (CGE),,Commission on Gender Equity,,,Commission on Gender Equity (CGE),"Gender Equity, Commission on (CGE)",Jacqueline,Ebanks,commission on gender equity,REC_000033,,,,,REC_000057,,nyc_agencies_export
Commission on Human Rights,"Human Rights, Commission on",Active,"Advisory, Oversight, or Regulatory Body","The New York City Commission on Human Rights is charged with the enforcement of the Human Rights Law, Title 8 of the Administrative Code of the City of New York, and with educating the public and encouraging positive community relations. ",http://www.nyc.gov/cchr,,Chief Counsel to the Mayor and City Hall,New York City Charter,"Chapter 40, Section 902",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2695,"The New York city commission on human rights is hereby established and continued. b.   The commission has general jurisdiction and power to eliminate and prevent unlawful discrimination by enforcing the provisions of chapter 1 of title 8 of the administrative code and also has the powers conferred upon such commission by such title and all other applicable laws in furtherance of the elimination and prevention of such unlawful discrimination. The commission may, in addition, take such other actions as may be provided by law against prejudice, intolerance, bigotry and unlawful discrimination and has the powers and duties conferred by this chapter and any other law in furtherance of such purposes. Nothing in this chapter shall be construed to limit the powers of the corporation counsel pursuant to applicable law.",,,CCHR,,226.0,Annabel Palma,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Commission+on+Human+Rights+%28CCHR%29,,1955.0,,commission-on-human-rights,2024-07-29,,,"Human Rights, City Commission on (CCHR)","Human Rights, City Commission on (CCHR)",Commission on Human Rights (CCHR),City Commission on Human Rights (CCHR),Commission on Human Rights,Commission on Human Rights,"Human Rights, Commission on",Commission on Human Rights,Commission on Human Rights (CCHR),"Human Rights, Commission on (CCHR)",Annabel,Palma,commission on human rights,REC_000034,,,,,REC_000058,,nyc_agencies_export
Commission on Racial Equity,"Racial Equity, Commission on",Active,"Advisory, Oversight, or Regulatory Body","The Commission on Racial Equity is a new independent 15-member commission responsible for holding government accountable to advancing racial equity in government operations and uplifting community voices in government decision making. CORE provides accountability for New Yorkers, regularly evaluating the City’s progress on its racial requirements and goals. CORE will be composed of diverse New Yorkers with equity expertise and/or relevant lived experience, serving as a conduit to bring historically excluded communities and voices into government decision-making. CORE’s independent commission composed of 15 commissioners, including one Chair Executive Director, jointly appointed by the Mayor and New York City Council Speaker. Other CORE commissioners will be appointed by the Mayor, City Council Speaker, City Comptroller, and Public Advocate. City officials appointing commissioners to CORE are required to consider individuals that represent or have advocated for historically excluded voices, including people with lived experience of marginalization and individuals who have never served on a government board or commission before.",https://www.nyc.gov/content/core/pages/,,Independent,New York City Charter,"Chapter 78, Section 3403",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6480,"There shall be established a commission on racial equity, the purpose of which is to enable community members with equity expertise or lived experience relevant to the goal of equity to propose priorities for racial equity in city decision-making and policy and assess performance towards those priorities. b.   Membership of the commission; appointments; executive director; staff. The commission shall consist of 15 members, including the chair, appointed as follows: seven members of the commission shall be appointed by the mayor; five members of the commission, each of whom shall be a resident of a different borough, shall be appointed by the speaker of the city council; one member of the commission shall be appointed by the public advocate; and one member of the commission shall be appointed by the comptroller. The chair of the commission, who shall be jointly appointed by the mayor and speaker, shall also serve as executive director. The chair shall have charge of the organization of the commission's office and have authority to employ, assign and superintend the duties of such officers and employees as may be necessary to carry out the provisions of this section. The chair shall devote their full time to the position and shall be entitled to compensation for the position.",,,CORE,,,Linda Tigani,Chair & Executive Director,,,2022.0,,commission-on-racial-equity,2024-07-29,,,NYC Commission on Racial Equity,NYC Commission on Racial Equity,,,Commission on Racial Equity,,,,Commission on Racial Equity (CORE),"Racial Equity, Commission on (CORE)",Linda,Tigani,commission on racial equity,REC_000035,,,,,REC_000059,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commission public information communication,,,,,,REC_000198,Commission on Public Information and Communication,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,committee city healthcare services,,,,,,REC_000185,Committee on City Healthcare Services,ops
Committee on City Healthcare Services,"City Healthcare Services, Committee on",Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 1, Section 20-e",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5700,"There shall be a committee on city healthcare services established by the mayor, or the mayor's designee, to review community-based health indicators in New York city, and evaluate community-level health needs that can be addressed by city healthcare services.",,,,,,,,,,2018.0,,committee-on-city-healthcare-services,2024-07-29,,,,,,,,,,,Committee on City Healthcare Services,"City Healthcare Services, Committee on",,,committee on city healthcare services,REC_000038,,,,,REC_000062,,nyc_agencies_export
Community Action Board,Community Action Board,Active,"Advisory, Oversight, or Regulatory Body",,,Department of Youth and Community Development,Department of Youth and Community Development,New York City Charter,"Chapter 30, Section 736",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6720,There shall be in the department a community action board which shall be constituted so as to assure that it is in compliance with applicable federal and state requirements.,,,,,,,,,,1947.0,,community-action-board,2024-07-29,,,,,,,,,,,Community Action Board,Community Action Board,,,community action board,REC_000039,,,,,REC_000063,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,community action board department youth community development,,,,,,REC_000174,Community Action Board – Dept. of Youth and Community Development,ops
Community Boards,Community Boards,Active,"Advisory, Oversight, or Regulatory Body","Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www.nyc.gov/site/communityboards/index.page,,Borough Presidents,New York City Charter,"Chapter 70, Section 2800",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4249,"For each community district created pursuant to chapter sixty-nine there shall be a community board which shall consist of (1) not more than fifty persons appointed by the borough president, at least one-half of whom shall be appointed from nominees of the council members elected from council districts which include any part of the community district, and (2) all such council members as non-voting members. The number of members appointed on the nomination of each such council member shall be proportional to the share of the district population represented by such council member. The city planning commission, after each council redistricting pursuant to chapter two-A, and after each community redistricting pursuant to section twenty-seven hundred two, shall determine the proportion of the community district's population represented by each council member. Copies of such determinations shall be filed with the appropriate borough president, community board, and council member. Members appointed to community boards shall be appointed to serve staggered terms of two years. One-half of the members appointed to any community board shall serve for a term of two years beginning on the first day of April in each odd-numbered year in which they take office and one half of the members appointed to any community board shall serve for a term of two years beginning on the first day of April in each even-numbered year in which they take office. Members shall serve until their successors are appointed but no member may serve for more than sixty days after the expiration of his or her original term unless reappointed by the borough president, and provided further that no person shall be eligible to be appointed as a community board member if that person has previously held such appointment for four or more consecutive full terms that commenced on or after April 1, 2019, unless one full term or more has elapsed since that person last held such office; provided however, that in the case of a community board member appointed or re-appointed for a term that commenced on April 1, 2020, the borough president may appoint such member for up to five consecutive terms commencing on such date. Not more than twenty-five percent of the appointed members shall be city employees. No more than two members shall be less than eighteen years of age. No person shall be appointed to or remain as a member of the board who does not have a residence, business, professional or other significant interest in the district. The borough president shall assure adequate representation from the different geographic sections and neighborhoods within the community district. In making such appointments, the borough president shall consider whether the aggregate of appointments fairly represents all segments of the community. The borough president shall seek out persons of diverse backgrounds, including with regard to race, ethnicity, gender, age, disability status, sexual orientation, language, and other characteristics the borough president deems relevant to promoting diversity and inclusion of under-represented groups and communities within community boards, to apply for appointment. Community boards, civic groups and other community groups and neighborhood associations may submit nominations to the borough president and to council members.",,,CB,,,Fred Kreizman,"Commissioner, Community Affairs Unit (CAU)",,,1951.0,,community-boards,2024-07-29,,,Community Boards (CB),Community Boards (CB),,,,,,,Community Boards (CB),Community Boards (CB),Fred,Kreizman,community boards,REC_000040,REC_000036,"Commissioner, Community Affairs Unit (CAU)",https://www.nyc.gov/site/cau/index.page,Community Boards (CB),REC_000392,Community Boards,ops
Office of Community Hiring,"Community Hiring, Office of",Active,Mayoral Office,The Office of Community Hiring (OCH)'s mission is to use the City's purchasing power to drive economic mobility by connecting City vendors with a pipeline of talent and creating pathways to careers for our community.,https://www.nyc.gov/site/communityhiring/index.page,Mayor's Office of Talent and Workforce Development,Mayor's Office of Talent and Workforce Development,,"Chapter 79, Section 3502",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-7050,"The mayor shall establish an office of community hiring and workforce development. Such office may be established as a separate office or within any department the head of which is appointed by the mayor. The office of community hiring and workforce development shall be headed by a director who shall be appointed by the mayor or head of such department. The director shall, as the director deems appropriate, adopt rules consistent with the purpose of this chapter relating to employment goals on transactions, including rules:",,,,,,Douglas Lipari,Executive Director,,,2023.0,,office-of-community-hiring,2024-07-29,,,"Community Hiring, Office of","Community Hiring, Office of",,,,,,,Office of Community Hiring,"Community Hiring, Office of",Douglas,Lipari,community office hiring,REC_000191,,,,,REC_000064,,nyc_agencies_export
